# XP-Leiter, Messung an einer lebenden Figur
# Mess-Mod 6.51.1
# Build 42.20
# je Skill: Skillstufe 0-9, Boost 0-5, je 20 XP ueber AddXP
# Sandbox-Faktor (MultiplierConfig): Global 1
# Proteine -205.4, Faktor fuer Strength 1.00 (AddXP 15500-15508)
# waehrend der Leiter abgenommen: keine
# soll wie TF_XpColumns (0.25 / 1.0 / 1.33 / 1.66, Sprinting 1.0 / 1.25, Strength und Fitness 1.0) x Sandbox (x Proteinfaktor bei Strength); Toleranz 0.1 %

[ergebnis]
ergebnis|werte=48|stimmen=48|weichen_ab=0|nicht_messbar=0

[vergleich] skill|boost|soll|gemessen|urteil
xpleiter|Cooking|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Cooking|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=3|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Cooking|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=4|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Cooking|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=5|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Cooking|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=6|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Cooking|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=7|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Cooking|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=8|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Cooking|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Cooking|stufe=9|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Cooking|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Cooking|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Cooking|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Aiming|stufe=0|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Aiming|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=1|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Aiming|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=2|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Aiming|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=3|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Aiming|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=4|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Aiming|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=5|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Aiming|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Aiming|stufe=6|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Aiming|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=7|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Aiming|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=8|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Aiming|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Aiming|stufe=9|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Aiming|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Aiming|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Aiming|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Aiming|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Aiming|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Sprinting|stufe=0|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=0|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Sprinting|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=1|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=1|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Sprinting|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=2|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=2|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Sprinting|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=3|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=3|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Sprinting|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=4|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=4|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Sprinting|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=5|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=5|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Sprinting|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Sprinting|stufe=6|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=6|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Sprinting|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=7|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=7|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Sprinting|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=8|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=8|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Sprinting|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Sprinting|stufe=9|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Sprinting|stufe=9|boost=1|20 gegeben|erhalten=25.0000 (x1.250)
xpleiter|Sprinting|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Sprinting|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Sprinting|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Sprinting|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Strength|stufe=0|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=0|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=0|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=0|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=0|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=1|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=2|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=3|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=4|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=5|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=6|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=7|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=8|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Strength|stufe=9|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=0|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=1|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=2|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=3|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=4|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=5|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=6|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=7|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=8|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=0|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=2|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=3|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=4|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Fitness|stufe=9|boost=5|20 gegeben|erhalten=20.0000 (x1.000)
